,genre,year,word,freq
16,랩/힙합,2004,내,63
17,랩/힙합,2004,마음,12
33,랩/힙합,2004,널,25
41,랩/힙합,2004,왜,10
42,랩/힙합,2004,맘,16
50,랩/힙합,2004,난,36
51,랩/힙합,2004,이제,12
155,랩/힙합,2004,니,10
45,랩/힙합,2004,바보,12
17,랩/힙합,2004,하루,13
40,랩/힙합,2004,오늘,15
20,랩/힙합,2004,없어,24
44,랩/힙합,2004,제대로,12
44,랩/힙합,2004,그리워,10
79,랩/힙합,2004,속도,10
0,랩/힙합,2005,내,65
2,랩/힙합,2005,나,33
3,랩/힙합,2005,니,14
4,랩/힙합,2005,있어,11
14,랩/힙합,2005,난,30
15,랩/힙합,2005,사랑,35
27,랩/힙합,2005,넌,11
28,랩/힙합,2005,사람,15
38,랩/힙합,2005,밤,11
40,랩/힙합,2005,너,57
47,랩/힙합,2005,꿈,13
48,랩/힙합,2005,고마워,10
51,랩/힙합,2005,세상,23
53,랩/힙합,2005,그,23
55,랩/힙합,2005,없어,13
63,랩/힙합,2005,날,22
66,랩/힙합,2005,못,10
79,랩/힙합,2005,다시,14
83,랩/힙합,2005,눈,20
94,랩/힙합,2005,널,23
7,랩/힙합,2005,또,14
41,랩/힙합,2005,하나,15
42,랩/힙합,2005,그대,16
44,랩/힙합,2005,말,12
24,랩/힙합,2005,기억,12
40,랩/힙합,2005,눈물,16
15,랩/힙합,2005,이제,11
18,랩/힙합,2005,적,12
35,랩/힙합,2005,속,12
44,랩/힙합,2005,아니야,12
94,랩/힙합,2005,네,17
7,랩/힙합,2005,감고,12
96,랩/힙합,2005,볼,10
10,랩/힙합,2005,전화번호,20
2,랩/힙합,2006,여자,10
12,랩/힙합,2006,그,13
30,랩/힙합,2006,나,27
32,랩/힙합,2006,날,14
33,랩/힙합,2006,맘,11
38,랩/힙합,2006,사랑,40
40,랩/힙합,2006,그녀,12
47,랩/힙합,2006,난,13
50,랩/힙합,2006,너,23
78,랩/힙합,2006,말,11
10,랩/힙합,2006,네,10
11,랩/힙합,2006,마음,12
25,랩/힙합,2006,이,10
26,랩/힙합,2006,내,39
9,랩/힙합,2007,내,54
10,랩/힙합,2007,맘,15
