ids,Year,Source,Target,Weight
10,1999,끝(N),없(P),5
11,1999,나이(N),먹(P),9
12,1999,나이(N),푸(P),8
13,1999,날(N),버리(P),5
14,1999,눈(N),감(P),15
15,1999,눈(N),뜨(P),5
16,1999,눈(N),보(P),9
17,1999,눈물(N),나(P),5
18,1999,눈물(N),흐르(P),10
19,1999,눈물(N),흘리(P),8
20,1999,니(N),가(P),8
21,1999,니(N),되(P),7
22,1999,니(N),사(P),23
23,1999,니(N),살(P),8
24,1999,때(N),보(P),8
25,1999,때(N),있(P),7
26,1999,마(N),멈추(P),7
27,1999,마(N),보(P),5
28,1999,마음(N),알(P),9
29,1999,마지막(N),남(P),5
30,1999,말(N),없(P),5
31,1999,말(N),하(P),20
32,1999,맘(N),들(P),7
33,1999,머(N),원하(P),26
34,1999,먹(N),푸(P),6
35,1999,미안(N),미워하(P),5
36,1999,바다(N),길(P),8
37,1999,바다(N),푸르(P),6
38,1999,바보(N),같(P),7
39,1999,밖(N),없(P),5
40,1999,빠밤(N),빠(P),8
41,1999,빠밤(N),빠쁘(P),8
42,1999,사(N),사(P),6
43,1999,사(N),살(P),6
44,1999,사람(N),만나(P),9
45,1999,사람(N),많(P),8
46,1999,사랑(N),그렇(P),8
47,1999,사랑(N),깊(P),8
48,1999,사랑(N),끝나(P),5
49,1999,사랑(N),나(P),18
50,1999,사랑(N),남(P),7
51,1999,사랑(N),남기(P),6
52,1999,사랑(N),믿(P),5
53,1999,사랑(N),없(P),14
54,1999,사랑(N),위하(P),11
55,1999,사랑(N),있(P),7
56,1999,사랑(N),주(P),9
57,1999,사랑(N),찾(P),7
58,1999,사랑(N),하(P),17
59,1999,상처(N),주(P),5
60,1999,세상(N),넓(P),6
61,1999,세상(N),살(P),6
62,1999,세상(N),살아가(P),6
63,1999,속(N),흐르(P),7
64,1999,손(N),잡(P),12
65,1999,숨(N),쉬(P),6
66,1999,시간(N),길(P),10
67,1999,시간(N),흐르(P),7
68,1999,아(N),멈추(P),14
69,1999,아(N),워워워워(P),9
70,1999,아(N),인(P),9
71,1999,야(N),그렇(P),8
72,1999,야(N),살아가(P),8
73,1999,영원(N),없(P),5
74,1999,외로움(N),싫(P),5
75,1999,윈(N),기다리(P),9
76,1999,이(N),미워하(P),5
77,1999,이상(N),망설이(P),5
78,1999,이상(N),없(P),7
79,1999,이야아(N),그렇(P),8
80,1999,이야아(N),살아가(P),8
81,1999,이제(N),되(P),7
82,1999,이제(N),싫(P),6
83,1999,이제(N),알(P),7
84,1999,이제(N),잊(P),7
85,1999,인걸(N),미워하(P),5
86,1999,인아(N),기다리(P),18
87,1999,인아(N),워워워워(P),9
88,1999,인아(N),인(P),9
89,1999,자신(N),없(P),10
90,1999,잠(N),들(P),5
91,1999,적(N),알(P),7
92,1999,진짜(N),원하(P),54
93,1999,처음(N),보(P),7
94,1999,폼(N),살(P),10
95,1999,폼(N),죽(P),10
96,1999,필요(N),없(P),8
97,1999,힘(N),들(P),14
0,2000,가라(N),갇히(P),8
1,2000,가슴(N),아프(P),5
2,2000,가슴(N),하(P),5
3,2000,거짓(N),바꾸(P),6
4,2000,걱정(N),하(P),5
5,2000,곁(N),떠나(P),6
6,2000,곁(N),있(P),9
7,2000,곳(N),멀(P),8
8,2000,곳(N),쉬(P),5
9,2000,곳(N),없(P),11
10,2000,곳(N),있(P),7
11,2000,그동안(N),빼앗기(P),8
12,2000,꿈(N),꾸(P),6
13,2000,꿈(N),어리(P),7
14,2000,끝(N),나(P),5
15,2000,나(N),나(P),36
16,2000,나(N),나나(P),18
17,2000,나(N),나나나(P),18
18,2000,날(N),안(P),5
19,2000,날(N),없(P),9
20,2000,날(N),오(P),8
21,2000,날(N),위하(P),5
22,2000,날(N),있(P),8
23,2000,날(N),잊(P),5
24,2000,날(N),죽(P),5
25,2000,날(N),하(P),6
26,2000,낼(N),보(P),5
27,2000,낼(N),없(P),5
28,2000,눈(N),감(P),9
29,2000,눈(N),뜨(P),5
30,2000,눈(N),멀(P),5
31,2000,눈물(N),없(P),5
32,2000,눈물(N),흘리(P),6
33,2000,눈빛(N),보(P),5
34,2000,때(N),오(P),5
35,2000,른(N),모(P),6
36,2000,마음(N),열(P),7
37,2000,말(N),있(P),5
38,2000,말(N),하(P),21
39,2000,모습(N),보(P),5
40,2000,모습(N),보이(P),5
41,2000,미래(N),날아보(P),5
42,2000,미래(N),향하(P),6
43,2000,바람(N),불(P),6
44,2000,사랑(N),그렇(P),6
45,2000,사랑(N),느끼(P),8
46,2000,사랑(N),되(P),11
47,2000,사랑(N),바꾸(P),8
48,2000,사랑(N),받(P),6
49,2000,사랑(N),보(P),6
50,2000,사랑(N),안(P),5
51,2000,사랑(N),알(P),8
52,2000,사랑(N),없(P),22
53,2000,사랑(N),위하(P),6
54,2000,사랑(N),있(P),32
55,2000,사랑(N),잊(P),9
56,2000,사랑(N),주(P),7
57,2000,사랑(N),찾(P),5
58,2000,사랑(N),하(P),18
59,2000,사랑안(N),갇히(P),5
60,2000,생각(N),하(P),5
61,2000,세상(N),바꾸(P),8
62,2000,세상(N),살(P),5
63,2000,세상(N),없(P),16
64,2000,세상(N),하(P),7
65,2000,속(N),없(P),7
66,2000,손(N),놓(P),5
67,2000,손(N),많(P),8
68,2000,손(N),앗(P),8
69,2000,수(N),없(P),8
70,2000,숨(N),쉬(P),9
71,2000,시간(N),기다리(P),5
72,2000,시간(N),지나(P),5
73,2000,아무것(N),모르(P),5
74,2000,안(N),있(P),6
75,2000,앞(N),서(P),7
76,2000,얘기(N),없(P),6
77,2000,얘기(N),하(P),11
78,2000,영혼(N),빼앗기(P),8
79,2000,예감(N),좋(P),6
80,2000,울트라(N),매(P),6
81,2000,이별(N),하(P),5
82,2000,이제(N),보(P),5
83,2000,이제(N),없(P),11
84,2000,이제(N),하(P),5
85,2000,일(N),하(P),7
86,2000,조금(N),다가가(P),5
87,2000,주먹(N),지르(P),15
88,2000,지마(N),가(P),6
89,2000,처음(N),만나(P),6
90,2000,처음(N),오(P),5
91,2000,처음(N),태어나(P),5
92,2000,필요(N),없(P),7
93,2000,하늘(N),파랗(P),6
94,2000,하루(N),없(P),5
95,2000,행복(N),가(P),6
0,2001,가을(N),쓰(P),11
1,2001,가을(N),흐리(P),11
2,2001,곁(N),있(P),16
3,2001,곳(N),없(P),8
4,2001,그녈(N),만나(P),6
5,2001,그때(N),그렇(P),9
6,2001,길(N),가(P),5
7,2001,길(N),걷(P),5
8,2001,꿈들(N),잊히(P),8
9,2001,나(N),나(P),12
10,2001,나(N),마(P),6
11,2001,나(N),막(P),6
12,2001,날(N),기다리(P),5
13,2001,날(N),보(P),7
14,2001,날(N),아프(P),5
15,2001,날(N),없(P),6
16,2001,날(N),울(P),7
17,2001,날(N),지나(P),5
18,2001,날(N),하(P),11
19,2001,눈(N),감(P),15
20,2001,눈물(N),나(P),6
21,2001,눈물(N),보이(P),8
22,2001,눈물(N),없(P),6
23,2001,눈물(N),잊(P),6
24,2001,눈물(N),흐르(P),16
25,2001,눈물(N),흘리(P),5
26,2001,다짐(N),하(P),5
27,2001,때(N),나(P),6
28,2001,때(N),만나(P),7
29,2001,때(N),하(P),9
30,2001,래(N),래(P),10
31,2001,마(N),가(P),5
32,2001,마(N),가지(P),5
33,2001,마음(N),아프(P),11
34,2001,마음(N),잊(P),5
35,2001,마음(N),하(P),6
