,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio,ratio
word,가슴,거리,곁,곳,구름,그날,그때,그리움,기억,길,꽃,꿈,끝,날,남,남자,내일,네,노래,눈,눈물,눈빛,님,달,뒤,때,마,마음,마지막,말,맘,머리,모습,목소리,몸,미소,미안,바다,바람,바보,밤,별,비,빛,사람,사랑,삶,상처,생각,서로,세상,세월,소리,속,손,순간,숨,슬픔,시간,시작,아침,아픔,안,앞,약속,얘기,얼굴,여자,영원,오,오늘,웃음,위,음,이름,이별,이상,이유,이제,인생,일,입술,잠,전,조금,지,지금,집,처음,추억,친구,필요,하늘,하루,해,행복,향기,혼자,후회,힘
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.0,0.07692307692307693,0.02564102564102564,0.0,0.07692307692307693,0.0,0.3333333333333333,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.2564102564102564,0.07692307692307693,0.0,0.0,0.15384615384615385,0.1794871794871795,0.15384615384615385,0.10256410256410256,0.0,0.6410256410256411,1.0,0.0,0.5897435897435898,0.0,0.23076923076923078,0.07692307692307693,0.5897435897435898,0.2564102564102564,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.10256410256410256,0.0,0.1282051282051282,0.28205128205128205,0.1282051282051282,0.28205128205128205,0.7435897435897436,0.02564102564102564,0.1282051282051282,0.3076923076923077,1.1538461538461537,0.0,0.0,0.3333333333333333,0.02564102564102564,0.05128205128205128,0.1282051282051282,0.07692307692307693,0.07692307692307693,0.1794871794871795,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.20512820512820512,0.0,0.02564102564102564,0.02564102564102564,0.15384615384615385,0.05128205128205128,0.07692307692307693,0.0,0.15384615384615385,1.0256410256410255,0.05128205128205128,0.0,0.20512820512820512,0.0,0.07692307692307693,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.1794871794871795,0.02564102564102564,0.0,0.05128205128205128,0.0,0.02564102564102564,0.23076923076923078,0.1282051282051282,0.0,0.02564102564102564,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.0,0.0
1973,0.22857142857142856,0.05714285714285714,0.05714285714285714,0.0,0.14285714285714285,0.0,0.05714285714285714,0.0,0.0,0.42857142857142855,0.11428571428571428,0.17142857142857143,0.02857142857142857,0.22857142857142856,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.0,0.08571428571428572,0.2857142857142857,0.05714285714285714,0.05714285714285714,0.0,1.2857142857142858,0.0,0.6,0.02857142857142857,0.02857142857142857,0.2,0.0,0.0,0.0,0.0,0.11428571428571428,0.42857142857142855,0.02857142857142857,0.7142857142857143,0.3142857142857143,0.2857142857142857,0.05714285714285714,0.6571428571428571,1.0571428571428572,0.0,0.02857142857142857,0.4,0.0,0.2571428571428571,0.17142857142857143,0.08571428571428572,0.3142857142857143,0.11428571428571428,0.05714285714285714,0.0,0.0,0.11428571428571428,0.0,0.14285714285714285,0.0,0.2571428571428571,0.02857142857142857,0.05714285714285714,0.14285714285714285,0.0,0.02857142857142857,0.05714285714285714,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.2857142857142857,0.2,0.11428571428571428,0.0,0.0,0.0,0.08571428571428572,0.0,0.05714285714285714,0.0,0.08571428571428572,0.0,0.0,0.05714285714285714,0.08571428571428572,0.2571428571428571,0.0,0.05714285714285714,0.0,0.0,0.6,0.0,0.08571428571428572,0.2857142857142857,0.05714285714285714,0.4,0.05714285714285714,0.0
1974,0.5526315789473685,0.05263157894736842,0.34210526315789475,0.5263157894736842,0.2894736842105263,0.02631578947368421,0.0,0.05263157894736842,0.07894736842105263,0.13157894736842105,0.10526315789473684,0.21052631578947367,0.02631578947368421,0.39473684210526316,0.0,0.0,0.0,0.21052631578947367,0.8947368421052632,0.4473684210526316,0.2631578947368421,0.0,0.13157894736842105,0.15789473684210525,0.02631578947368421,0.13157894736842105,0.0,0.4473684210526316,0.0,0.2894736842105263,0.0,0.02631578947368421,0.15789473684210525,0.02631578947368421,0.0,0.02631578947368421,0.0,0.13157894736842105,0.4473684210526316,0.07894736842105263,0.3684210526315789,0.13157894736842105,0.13157894736842105,0.0,0.34210526315789475,1.8157894736842106,0.0,0.02631578947368421,0.34210526315789475,0.18421052631578946,0.07894736842105263,0.13157894736842105,0.2631578947368421,0.10526315789473684,0.13157894736842105,0.0,0.0,0.15789473684210525,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.02631578947368421,0.05263157894736842,0.13157894736842105,0.02631578947368421,0.0,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.05263157894736842,0.0,0.07894736842105263,0.0,0.0,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.13157894736842105,0.0,0.3684210526315789,0.0,0.05263157894736842,0.2631578947368421,0.0,0.2894736842105263,0.02631578947368421,0.0
1975,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.14705882352941177,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.0,0.29411764705882354,0.14705882352941177,0.23529411764705882,0.11764705882352941,0.5588235294117647,0.0,0.0,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.4117647058823529,0.38235294117647056,0.0,0.029411764705882353,0.11764705882352941,0.11764705882352941,0.2647058823529412,0.0,0.8529411764705882,0.0,0.9117647058823529,0.11764705882352941,0.0,0.35294117647058826,0.029411764705882353,0.14705882352941177,0.058823529411764705,0.0,0.14705882352941177,0.11764705882352941,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.47058823529411764,0.35294117647058826,0.47058823529411764,1.3235294117647058,0.0,0.0,0.14705882352941177,0.0,0.38235294117647056,0.0,0.35294117647058826,0.4411764705882353,0.14705882352941177,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.08823529411764706,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.08823529411764706,0.029411764705882353,0.0,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.17647058823529413,0.0,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.20588235294117646,0.058823529411764705,0.14705882352941177,0.0,0.0,0.0,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.029411764705882353,0.0,0.0,0.2647058823529412,0.029411764705882353,0.11764705882352941,0.20588235294117646,0.0,0.058823529411764705,0.0,0.058823529411764705
1976,0.2857142857142857,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.0,0.5,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.25,0.21428571428571427,0.0,0.21428571428571427,0.17857142857142858,0.7857142857142857,1.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.25,0.0,1.6428571428571428,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.21428571428571427,0.0,0.17857142857142858,0.0,0.35714285714285715,0.03571428571428571,1.0714285714285714,1.7142857142857142,0.0,0.0,0.39285714285714285,0.0,0.0,0.25,0.0,0.0,0.2857142857142857,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.03571428571428571,0.17857142857142858,0.0,0.17857142857142858,0.21428571428571427,0.42857142857142855,0.0,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.0,0.14285714285714285,0.0,0.10714285714285714,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.17857142857142858,0.0,0.0,0.32142857142857145,0.21428571428571427,0.0,0.25,0.0,0.0,0.32142857142857145,0.0,0.03571428571428571,0.0,0.0
1977,0.41935483870967744,0.12903225806451613,0.2903225806451613,0.45161290322580644,0.0967741935483871,0.0,0.0,0.03225806451612903,0.06451612903225806,0.6129032258064516,0.3548387096774194,0.7419354838709677,0.0,0.3225806451612903,0.06451612903225806,0.0,0.0,0.22580645161290322,0.2903225806451613,0.16129032258064516,0.1935483870967742,0.0,0.22580645161290322,0.1935483870967742,0.0,0.25806451612903225,0.0,0.967741935483871,0.03225806451612903,0.8387096774193549,0.16129032258064516,0.0,0.0,0.03225806451612903,0.0,0.0967741935483871,0.0,0.03225806451612903,0.16129032258064516,0.0,0.3225806451612903,0.22580645161290322,0.12903225806451613,0.0,0.16129032258064516,0.8709677419354839,0.0,0.0,0.12903225806451613,0.06451612903225806,0.0,0.1935483870967742,0.0967741935483871,0.1935483870967742,0.0967741935483871,0.03225806451612903,0.0,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.3870967741935484,0.0,0.06451612903225806,0.03225806451612903,0.3548387096774194,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.22580645161290322,0.0,0.06451612903225806,0.0,0.0,0.0,0.3870967741935484,0.03225806451612903,0.1935483870967742,0.3225806451612903,0.0,0.25806451612903225,0.0,0.0
1978,0.3902439024390244,0.0975609756097561,0.024390243902439025,0.24390243902439024,0.17073170731707318,0.12195121951219512,0.07317073170731707,0.21951219512195122,0.0,0.3170731707317073,0.0975609756097561,0.36585365853658536,0.024390243902439025,0.7317073170731707,0.0,0.024390243902439025,0.0975609756097561,0.07317073170731707,0.34146341463414637,0.21951219512195122,0.4878048780487805,0.024390243902439025,0.3170731707317073,0.0,0.14634146341463414,0.2926829268292683,0.0,1.3170731707317074,0.12195121951219512,0.3902439024390244,0.2682926829268293,0.07317073170731707,0.07317073170731707,0.0,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.2682926829268293,0.0,0.24390243902439024,0.024390243902439025,0.14634146341463414,0.04878048780487805,0.2926829268292683,1.2926829268292683,0.0,0.0,0.4878048780487805,0.0,0.12195121951219512,0.024390243902439025,0.1951219512195122,0.17073170731707318,0.07317073170731707,0.0,0.0,0.024390243902439025,0.0975609756097561,0.0,0.0975609756097561,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805,0.14634146341463414,0.0,0.07317073170731707,0.024390243902439025,0.07317073170731707,0.04878048780487805,0.0975609756097561,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.07317073170731707,0.04878048780487805,0.0975609756097561,0.0,0.024390243902439025,0.0,0.04878048780487805,0.0975609756097561,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.07317073170731707,0.24390243902439024,0.0,0.3170731707317073,0.0,0.07317073170731707,0.43902439024390244,0.0,0.07317073170731707,0.12195121951219512,0.0
1979,0.6666666666666666,0.10256410256410256,0.07692307692307693,0.1794871794871795,0.2564102564102564,0.07692307692307693,0.15384615384615385,0.1282051282051282,0.0,0.46153846153846156,0.1794871794871795,0.4358974358974359,0.10256410256410256,0.48717948717948717,0.0,0.0,0.0,0.20512820512820512,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,0.358974358974359,0.2564102564102564,0.0,0.5128205128205128,0.0,0.5641025641025641,0.0,0.5641025641025641,0.1794871794871795,0.0,0.20512820512820512,0.07692307692307693,0.20512820512820512,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.3076923076923077,0.02564102564102564,0.1282051282051282,0.0,0.8717948717948718,1.205128205128205,0.0,0.0,0.5897435897435898,0.05128205128205128,0.41025641025641024,0.10256410256410256,0.1282051282051282,0.358974358974359,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.1794871794871795,0.10256410256410256,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.23076923076923078,0.0,0.1282051282051282,0.1794871794871795,0.0,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.0,0.1282051282051282,0.0,0.10256410256410256,0.07692307692307693,0.10256410256410256,0.02564102564102564,0.0,0.05128205128205128,0.1794871794871795,0.0,0.10256410256410256,0.02564102564102564,0.3333333333333333,0.0,0.48717948717948717,0.05128205128205128,0.02564102564102564,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0
1980,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.5185185185185185,0.14814814814814814,0.25925925925925924,0.0,0.18518518518518517,0.0,0.14814814814814814,0.0,0.4444444444444444,0.14814814814814814,0.4444444444444444,0.0,0.0,0.037037037037037035,0.1111111111111111,0.3333333333333333,0.6296296296296297,0.07407407407407407,0.0,0.5555555555555556,0.25925925925925924,0.0,0.4074074074074074,0.0,1.4814814814814814,0.0,0.2962962962962963,0.1111111111111111,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.14814814814814814,0.2962962962962963,0.25925925925925924,0.2222222222222222,0.1111111111111111,0.2962962962962963,0.07407407407407407,0.3333333333333333,0.9259259259259259,0.0,0.0,0.6666666666666666,0.0,0.5925925925925926,0.48148148148148145,0.3333333333333333,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.14814814814814814,0.14814814814814814,0.0,0.2962962962962963,0.0,0.2962962962962963,0.0,0.037037037037037035,0.3333333333333333,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.25925925925925924,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.25925925925925924,0.0,0.0,0.0,0.2962962962962963,0.0,0.4074074074074074,0.07407407407407407,0.1111111111111111,1.037037037037037,0.18518518518518517,0.07407407407407407,0.0,0.0
1981,0.358974358974359,0.07692307692307693,0.0,0.15384615384615385,0.1282051282051282,0.05128205128205128,0.0,0.02564102564102564,0.0,0.10256410256410256,0.23076923076923078,0.358974358974359,0.0,0.23076923076923078,0.05128205128205128,0.02564102564102564,0.0,0.07692307692307693,0.5641025641025641,0.2564102564102564,0.3076923076923077,0.05128205128205128,0.20512820512820512,0.2564102564102564,0.0,0.15384615384615385,0.2564102564102564,1.3333333333333333,0.0,0.3076923076923077,0.1794871794871795,0.05128205128205128,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.02564102564102564,0.5641025641025641,0.0,0.5384615384615384,0.358974358974359,0.10256410256410256,0.02564102564102564,0.6153846153846154,1.794871794871795,0.0,0.0,0.358974358974359,0.02564102564102564,0.05128205128205128,0.1794871794871795,0.1282051282051282,0.3333333333333333,0.20512820512820512,0.05128205128205128,0.0,0.0,0.0,0.0,0.07692307692307693,0.02564102564102564,0.0,0.0,0.07692307692307693,0.10256410256410256,0.28205128205128205,0.2564102564102564,0.07692307692307693,0.48717948717948717,0.10256410256410256,0.07692307692307693,0.05128205128205128,0.0,0.10256410256410256,0.0,0.0,0.0,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.1282051282051282,0.0,0.07692307692307693,0.02564102564102564,0.23076923076923078,0.0,0.46153846153846156,0.07692307692307693,0.1282051282051282,0.3333333333333333,0.05128205128205128,0.10256410256410256,0.0,0.0
